user,sku,category,query,click_time,query_time
0c62e1c90aa1f8e5331d51a8a2eb467cbeb850b8,2541184,abcat0701002,Dead island,2011-09-09 19:04:29.76,2011-09-09 19:04:04.762
1d36916717664c4fd2674a3979ee899cfbab1cc6,2330703,abcat0701002,saints row 3,2011-10-23 11:35:01.481,2011-10-23 11:31:41.843
12254dc4b7f3974e82223c4341e5090a93cb9ec3,2541184,abcat0701002,Dead island,2011-09-12 19:51:51.044,2011-09-12 19:51:38.823
9ab6a9a84578c47a311c3f1b93f7885a93d39da8,2467183,abcat0701002,gears of war,2011-09-20 10:38:40.435,2011-09-20 10:38:22.407
174771b9e69996dc67e22dd2e19da6ac84304a03,2977637,abcat0701002,NBA 2k12,2011-10-04 18:11:58.741,2011-10-04 18:11:45.946
9b0406c522a8648ff806b7f94677f0dce3cf4a3e,2953607,abcat0701002,Forza,2011-09-22 22:46:54.608,2011-09-22 22:46:52.515
de5f26ad4c49351c8687fcb9bf8261a59dbc14b2,2945052,abcat0701002,modern warfare 3,2011-10-05 09:35:34.443,2011-10-05 09:33:50.06
4b1e50c935c07d42e649c37c70bc12324668a18e,3046603,abcat0701002,Batman,2011-09-30 23:06:43.517,2011-09-30 23:06:14.588
158639566da554dd50ce8ebcb97820474cd1fbe6,2670133,abcat0701002,call of duty,2011-09-11 12:25:31.488,2011-09-11 12:25:04.39
2ff0701da4d47b6430d97b033de1bac5f1424def,9854804,abcat0701002,gears of war 3,2011-09-21 14:49:26.075,2011-09-21 14:49:07.093
87baaf070148711a33a762736ef925d87eea374f,2953607,abcat0701002,ColumbusDay_HomeTheater_20111009,2011-10-10 13:38:46.991,2011-10-10 13:35:29.322
6069de845651bd5724dfbbcceac7b1a20dabab09,2945052,abcat0701002,Hardened edition,2011-10-22 14:02:48.12,2011-10-22 14:02:31.889
ddc34da8a1b34cc77f34cdd68cae6053d061ddb5,9276473,abcat0701002,Call of duty modern warfare 2,2011-09-24 15:45:59.319,2011-09-24 15:45:49.562
84069a3c8ff479cbb21dc837a6588ec05a72cc0c,3455185,abcat0701002,Cabelas big game hunter 2012,2011-10-11 10:14:32.597,2011-10-11 10:13:35.243
27f232f91059901fb492af24ad44160636ac1897,2807036,abcat0701002,nhl 12,2011-09-12 20:11:43.219,2011-09-12 20:10:58.026
e1819ca0a69f42435650a4680fa74f8b4104bf05,9854804,abcat0701002,xbox,2011-10-04 19:46:42.602,2011-10-04 19:45:51.656
